,dong,fuel,num
0,양천구 신월2동 ,electric,72
0,양천구 신월3동 ,electric,46
0,양천구 신월4동 ,electric,56
0,양천구 신월5동 ,electric,50
0,양천구 신월6동 ,electric,151
0,양천구 신월7동 ,electric,54
0,양천구 신정1동 ,electric,186
0,양천구 신정2동 ,electric,81
0,양천구 신정3동 ,electric,187
0,양천구 신정4동 ,electric,75
0,양천구 신정6동 ,electric,107
0,양천구 신정7동 ,electric,78
0,강서구 염창동 ,electric,200
0,강서구 등촌1동 ,electric,122
0,강서구 등촌2동 ,electric,57
0,강서구 등촌3동 ,electric,92
0,강서구 화곡1동 ,electric,127
0,강서구 화곡2동 ,electric,41
0,강서구 화곡3동 ,electric,50
0,강서구 화곡4동 ,electric,47
0,강서구 화곡본동 ,electric,63
0,강서구 화곡6동 ,electric,84
0,강서구 화곡8동 ,electric,65
0,강서구 가양1동 ,electric,688
0,강서구 가양2동 ,electric,35
0,강서구 가양3동 ,electric,95
0,강서구 발산1동 ,electric,242
0,강서구 우장산동 ,electric,131
0,강서구 공항동 ,electric,245
0,강서구 방화1동 ,electric,189
0,강서구 방화2동 ,electric,225
0,강서구 방화3동 ,electric,69
0,구로구 신도림동 ,electric,122
0,구로구 구로1동 ,electric,1856
0,구로구 구로2동 ,electric,203
0,구로구 구로3동 ,electric,173
0,구로구 구로4동 ,electric,1871
0,구로구 구로5동 ,electric,163
0,구로구 가리봉동 ,electric,11
0,구로구 고척1동 ,electric,98
0,구로구 고척2동 ,electric,71
0,구로구 개봉1동 ,electric,136
0,구로구 개봉2동 ,electric,72
0,구로구 개봉3동 ,electric,27
0,구로구 오류1동 ,electric,67
0,구로구 오류2동 ,electric,129
0,구로구 수궁동 ,electric,64
0,구로구 항동 ,electric,98
0,금천구 가산동 ,electric,280
0,금천구 독산1동 ,electric,212
0,금천구 독산2동 ,electric,38
0,금천구 독산3동 ,electric,62
0,금천구 독산4동 ,electric,33
0,금천구 시흥1동 ,electric,161
0,금천구 시흥2동 ,electric,78
0,금천구 시흥3동 ,electric,53
0,금천구 시흥4동 ,electric,47
0,금천구 시흥5동 ,electric,69
0,영등포구 영등포본동 ,electric,73
0,영등포구 영등포동 ,electric,160
0,영등포구 여의동 ,electric,734
0,영등포구 당산1동 ,electric,119
0,영등포구 당산2동 ,electric,160
0,영등포구 도림동 ,electric,63
0,영등포구 문래동 ,electric,155
0,영등포구 양평1동 ,electric,76
0,영등포구 양평2동 ,electric,147
0,영등포구 신길1동 ,electric,52
0,영등포구 신길3동 ,electric,36
0,영등포구 신길4동 ,electric,45
0,영등포구 신길5동 ,electric,44
0,영등포구 신길6동 ,electric,47
0,영등포구 신길7동 ,electric,92
0,영등포구 대림1동 ,electric,58
0,영등포구 대림2동 ,electric,26
0,영등포구 대림3동 ,electric,95
0,동작구 노량진1동 ,electric,112
0,동작구 노량진2동 ,electric,25
0,동작구 상도1동 ,electric,155
0,동작구 상도2동 ,electric,101
0,동작구 상도3동 ,electric,56
0,동작구 상도4동 ,electric,76
0,동작구 흑석동 ,electric,100
0,동작구 사당1동 ,electric,63
0,동작구 사당2동 ,electric,83
0,동작구 사당3동 ,electric,75
0,동작구 사당4동 ,electric,40
0,동작구 사당5동 ,electric,44
0,동작구 대방동 ,electric,105
0,동작구 신대방1동 ,electric,89
0,동작구 신대방2동 ,electric,79
0,관악구 보라매동 ,electric,96
0,관악구 청림동 ,electric,40
0,관악구 성현동 ,electric,90
0,관악구 행운동 ,electric,62
0,관악구 낙성대동 ,electric,65
0,관악구 청룡동 ,electric,145
0,관악구 은천동 ,electric,88
0,관악구 중앙동 ,electric,29
0,관악구 인헌동 ,electric,60
0,관악구 남현동 ,electric,42
0,관악구 서원동 ,electric,61
0,관악구 신원동 ,electric,27
0,관악구 서림동 ,electric,60
0,관악구 신사동 ,electric,35
0,관악구 신림동 ,electric,49
0,관악구 난향동 ,electric,57
0,관악구 조원동 ,electric,62
0,관악구 대학동 ,electric,116
0,관악구 삼성동 ,electric,50
0,관악구 미성동 ,electric,81
0,관악구 난곡동 ,electric,40
0,서초구 서초1동 ,electric,928
0,서초구 서초2동 ,electric,184
0,서초구 서초3동 ,electric,302
0,서초구 서초4동 ,electric,185
0,서초구 잠원동 ,electric,115
0,서초구 반포본동 ,electric,87
0,서초구 반포1동 ,electric,251
0,서초구 반포2동 ,electric,184
0,서초구 반포3동 ,electric,124
0,서초구 반포4동 ,electric,89
0,서초구 방배본동 ,electric,83
0,서초구 방배1동 ,electric,109
0,서초구 방배2동 ,electric,59
0,서초구 방배3동 ,electric,66
0,서초구 방배4동 ,electric,92
0,서초구 양재1동 ,electric,1479
0,서초구 양재2동 ,electric,243
