,dong,Latitude,Longitude,fuel,num
0,서대문구 홍제2동,37.5860597,126.9493607,hybrid,231
0,서대문구 홍은1동,37.5988376,126.9471453,hybrid,375
0,서대문구 홍은2동,37.586809,126.9323952,hybrid,393
0,서대문구 남가좌1동,37.5740091,126.9198012,hybrid,450
0,서대문구 남가좌2동,37.5783935,126.9238634,hybrid,549
0,서대문구 북가좌1동,37.574273,126.9101854,hybrid,392
0,서대문구 북가좌2동,37.581292,126.911326,hybrid,328
0,마포구 아현동,37.5544849,126.9562273,hybrid,1
0,마포구 아현동,37.5544849,126.9562273,hybrid,755
0,마포구 공덕동,37.5481125,126.9549965,hybrid,709
0,마포구 도화동,37.5389594,126.9491776,hybrid,512
0,마포구 용강동,37.542285,126.9430588,hybrid,633
0,마포구 대흥동,37.5497599,126.9431416,hybrid,230
0,마포구 염리동,37.5491616,126.9472617,hybrid,320
0,마포구 신수동,37.548572,126.9368133,hybrid,483
0,마포구 서강동,37.5486093,126.9262631,hybrid,558
0,마포구 서교동,37.5537811,126.9186768,hybrid,409
0,마포구 합정동,37.5483014,126.9111751,hybrid,282
0,마포구 망원1동,37.5555904,126.9055602,hybrid,259
0,마포구 망원2동,37.560312,126.9022827,hybrid,258
0,마포구 연남동,37.5627439,126.9214088,hybrid,201
0,마포구 성산1동,37.5633395,126.9078931,hybrid,300
0,마포구 성산2동,37.5685712,126.9089833,hybrid,608
0,마포구 상암동,37.5707485,126.8798744,hybrid,629
0,양천구 목1동,37.5270981,126.8738365,hybrid,792
0,양천구 목2동,37.5433544,126.8738358,hybrid,449
0,양천구 목3동,37.5448276,126.8659699,hybrid,339
0,양천구 목4동,37.5358976,126.8679926,hybrid,362
0,양천구 목5동,37.5361674,126.8797993,hybrid,1082
0,양천구 신월1동,37.531678,126.8343716,hybrid,219
0,양천구 신월2동,37.5233458,126.8465282,hybrid,258
0,양천구 신월3동,37.533,126.8273275,hybrid,128
0,양천구 신월4동,37.5219895,126.8400824,hybrid,230
0,양천구 신월5동,37.540557,126.8299859,hybrid,183
0,양천구 신월6동,37.5163837,126.8421653,hybrid,354
0,양천구 신월7동,37.5193027,126.8311042,hybrid,193
0,양천구 신정1동,37.5190637,126.8581825,hybrid,469
0,양천구 신정2동,37.5189275,126.8743632,hybrid,418
0,양천구 신정3동,37.51334,126.8423542,hybrid,823
0,양천구 신정4동,37.5253587,126.8576622,hybrid,353
0,양천구 신정6동,37.5163823,126.8696629,hybrid,650
0,양천구 신정7동,37.510422,126.8648713,hybrid,575
0,기타,,,hybrid,1
0,강서구 염창동,37.5527315,126.8707482,hybrid,1047
0,강서구 등촌1동,37.5558118,126.8588981,hybrid,544
0,강서구 등촌2동,37.5455631,126.8621759,hybrid,356
0,강서구 등촌3동,37.5457853,126.8574547,hybrid,436
0,강서구 화곡1동,37.5339049,126.840775,hybrid,619
0,강서구 화곡2동,37.5317869,126.8544548,hybrid,162
0,강서구 화곡3동,,,hybrid,362
