,dong,Latitude,Longitude,fuel,num
0,강북구 번2동,37.6298562,127.0340769,electric,49
0,강북구 번3동,37.6249835,127.0426421,electric,128
0,강북구 수유1동,37.6319434,127.0112795,electric,43
0,강북구 수유2동,37.6448833,127.0199194,electric,1
0,강북구 수유2동,37.6448833,127.0199194,electric,51
0,강북구 수유3동,37.6407404,127.0231016,electric,41
0,강북구 우이동,37.6572676,127.003039,electric,67
0,강북구 인수동,37.639078,127.0113295,electric,109
0,도봉구 창1동,37.65185,127.0503526,electric,90
0,도봉구 창2동,37.6413143,127.0354614,electric,73
0,도봉구 창3동,37.6378003,127.0395247,electric,37
0,도봉구 창4동,37.6449634,127.055145,electric,107
0,도봉구 창5동,37.6562472,127.0435717,electric,59
0,도봉구 도봉1동,,,electric,100
0,도봉구 도봉2동,37.6798497,127.0495817,electric,71
0,도봉구 쌍문1동,,,electric,75
0,도봉구 쌍문2동,37.6613576,127.0375166,electric,38
0,도봉구 쌍문3동,37.6505533,127.0322396,electric,29
0,도봉구 쌍문4동,37.6564869,127.0284248,electric,35
0,도봉구 방학1동,37.6648172,127.0424203,electric,217
0,도봉구 방학2동,37.6691065,127.0323527,electric,52
0,도봉구 방학3동,37.6599686,127.0240179,electric,110
0,노원구 월계1동,37.6219654,127.0585916,electric,68
0,노원구 월계2동,37.6341057,127.0512947,electric,89
0,노원구 월계3동,37.6238001,127.0646875,electric,80
0,노원구 공릉1동,37.6238137,127.0735097,electric,132
0,노원구 공릉2동,37.6321366,127.0914306,electric,124
0,노원구 하계1동,37.6393637,127.0751344,electric,62
0,노원구 하계2동,37.6352145,127.0648065,electric,34
0,노원구 중계본동,37.6475494,127.0843318,electric,62
0,노원구 중계1동,37.6499994,127.073947,electric,64
0,노원구 중계4동,37.6579542,127.0780747,electric,71
0,노원구 중계2.3동,37.643546,127.0659188,electric,77
0,노원구 상계1동,37.6809223,127.0619306,electric,254
0,노원구 상계2동,37.656471,127.0662494,electric,85
0,노원구 상계3.4동,37.6744854,127.0818506,electric,98
0,노원구 상계5동,37.6645101,127.0701682,electric,57
0,노원구 상계6.7동,37.6492392,127.0606019,electric,72
0,노원구 상계8동,37.6657968,127.0543753,electric,48
0,노원구 상계9동,37.6673935,127.0619788,electric,44
0,노원구 상계10동,37.6597393,127.0604535,electric,40
0,은평구 녹번동,37.6046138,126.9323836,electric,157
