,연면적,지상층수,경도,위도
0,13042.0,22.0,126.97154660381895,37.521400519190706
0,12441.0,22.0,126.95801594413219,37.5231092915175
0,9704.0,31.0,127.09077293407388,37.50829905597276
0,60190.0,32.0,126.92317544058736,37.49075367345572
0,22312.0,22.0,126.9552167954916,37.524895440376994
0,20567.0,22.0,126.97708581396255,37.51923178713081
0,19233.0,22.0,126.9785547422916,37.52044800672381
0,9516.0,22.0,126.97845714961743,37.51989540276018
0,7211.0,22.0,126.97959207936587,37.51947342044061
0,7072.0,22.0,126.98047824280154,37.519308140174154
0,10384.0,22.0,126.9800954880288,37.51951967042567
0,9359.0,22.0,126.97928609778054,37.51886713971073
0,185285.0,40.0,126.97042737546595,37.524839885153725
0,181061.0,31.0,127.0561312393259,37.50581458671308
0,8898.0,21.0,126.97139587297994,37.52179464394774
0,8303.0,21.0,126.97068720698995,37.52157684676085
0,54500.0,21.0,126.96341147567983,37.523769317883264
0,7589.0,24.0,127.0376650483481,37.55312599372991
0,6479.0,25.0,127.0374069588637,37.55284264715384
0,3587.0,24.0,126.8395265118828,37.4903242034789
0,117641.0,36.0,126.8840628946278,37.50001898696662
0,15229.0,21.0,126.88574919144676,37.503651830163506
0,5682.0,27.0,127.08684583396122,37.51549299646622
0,30808.0,30.0,127.10249924684136,37.51513262390514
0,8458.0,23.0,127.02680898161807,37.55494262917475
0,8458.0,23.0,127.02655010708382,37.555457968469376
0,9574.0,24.0,127.02833468177137,37.55576687051769
0,12485.0,24.0,127.02994898239005,37.55642191586893
0,10097.0,25.0,127.0295786459891,37.556000670176765
0,9194.0,25.0,127.02639132137428,37.55515602407572
0,13014.0,25.0,127.03052832038667,37.556212562399466
0,10097.0,25.0,127.02793326628706,37.55521417006281
0,10097.0,25.0,127.02890182547469,37.555538495500805
0,13520.0,25.0,127.0285460665018,37.55516402862993
0,8778.0,22.0,127.02794755384913,37.556275670409164
0,7549.0,25.0,127.03480891340843,37.55519354725809
0,9176.0,23.0,127.02707086780451,37.55585323013718
0,13963.0,24.0,127.02947354636042,37.55697795166499
