,dong,fuel,num
0,영등포구 영등포동 ,hybrid,592
0,영등포구 여의동 ,hybrid,1300
0,영등포구 당산1동 ,hybrid,371
0,영등포구 당산2동 ,hybrid,843
0,영등포구 도림동 ,hybrid,257
0,영등포구 문래동 ,hybrid,831
0,영등포구 양평1동 ,hybrid,461
0,영등포구 양평2동 ,hybrid,605
0,영등포구 신길1동 ,hybrid,207
0,영등포구 신길3동 ,hybrid,260
0,영등포구 신길4동 ,hybrid,198
0,영등포구 신길5동 ,hybrid,154
0,영등포구 신길6동 ,hybrid,259
0,영등포구 신길7동 ,hybrid,483
0,영등포구 대림1동 ,hybrid,213
0,영등포구 대림2동 ,hybrid,158
0,영등포구 대림3동 ,hybrid,320
0,동작구 노량진1동 ,hybrid,535
0,동작구 노량진2동 ,hybrid,120
0,동작구 상도1동 ,hybrid,905
0,동작구 상도2동 ,hybrid,588
0,동작구 상도3동 ,hybrid,249
0,동작구 상도4동 ,hybrid,313
0,동작구 흑석동 ,hybrid,642
0,동작구 사당1동 ,hybrid,257
0,동작구 사당2동 ,hybrid,584
0,동작구 사당3동 ,hybrid,461
0,동작구 사당4동 ,hybrid,164
0,동작구 사당5동 ,hybrid,253
0,동작구 대방동 ,hybrid,557
0,동작구 신대방1동 ,hybrid,404
0,동작구 신대방2동 ,hybrid,349
0,관악구 보라매동 ,hybrid,287
0,관악구 청림동 ,hybrid,291
0,관악구 성현동 ,hybrid,467
0,관악구 행운동 ,hybrid,338
0,관악구 낙성대동 ,hybrid,209
0,관악구 청룡동 ,hybrid,437
0,관악구 은천동 ,hybrid,443
0,관악구 중앙동 ,hybrid,133
0,관악구 인헌동 ,hybrid,304
0,관악구 남현동 ,hybrid,285
0,관악구 서원동 ,hybrid,188
0,관악구 신원동 ,hybrid,141
0,관악구 서림동 ,hybrid,208
0,관악구 신사동 ,hybrid,183
0,관악구 신림동 ,hybrid,196
0,관악구 난향동 ,hybrid,284
0,관악구 조원동 ,hybrid,217
0,관악구 대학동 ,hybrid,248
0,관악구 삼성동 ,hybrid,250
0,관악구 미성동 ,hybrid,382
0,관악구 난곡동 ,hybrid,256
0,서초구 서초1동 ,hybrid,991
0,서초구 서초2동 ,hybrid,778
0,서초구 서초3동 ,hybrid,1046
0,서초구 서초4동 ,hybrid,1052
0,서초구 잠원동 ,hybrid,762
0,서초구 반포본동 ,hybrid,85
0,서초구 반포1동 ,hybrid,899
0,서초구 반포2동 ,hybrid,502
0,서초구 반포3동 ,hybrid,688
0,서초구 반포4동 ,hybrid,525
0,서초구 방배본동 ,hybrid,525
0,서초구 방배1동 ,hybrid,487
0,서초구 방배2동 ,hybrid,357
0,서초구 방배3동 ,hybrid,573
0,서초구 방배4동 ,hybrid,582
0,서초구 양재1동 ,hybrid,1474
0,서초구 양재2동 ,hybrid,651
0,서초구 내곡동 ,hybrid,487
0,강남구 신사동 ,hybrid,533
0,강남구 논현1동 ,hybrid,534
0,강남구 논현2동 ,hybrid,542
0,강남구 압구정동 ,hybrid,1067
0,강남구 청담동 ,hybrid,812
0,강남구 삼성1동 ,hybrid,510
0,강남구 삼성2동 ,hybrid,838
0,강남구 대치1동 ,hybrid,1330
0,강남구 대치2동 ,hybrid,1147
0,강남구 대치4동 ,hybrid,736
0,강남구 역삼1동 ,hybrid,2765
0,강남구 역삼2동 ,hybrid,1168
0,강남구 도곡1동 ,hybrid,620
0,강남구 도곡2동 ,hybrid,1143
0,강남구 개포1동 ,hybrid,291
0,강남구 개포2동 ,hybrid,899
0,기타,hybrid,385
0,강남구 개포4동 ,hybrid,598
0,강남구 세곡동 ,hybrid,1184
0,강남구 일원본동 ,hybrid,719
0,강남구 일원1동 ,hybrid,222
0,강남구 수서동 ,hybrid,29
0,강남구 수서동 ,hybrid,344
0,기타,hybrid,2
0,송파구 풍납1동 ,hybrid,200
0,송파구 풍납2동 ,hybrid,506
0,송파구 거여1동 ,hybrid,197
0,송파구 거여2동 ,hybrid,469
0,송파구 마천1동 ,hybrid,197
0,송파구 마천2동 ,hybrid,196
0,송파구 방이1동 ,hybrid,438
0,송파구 방이2동 ,hybrid,426
0,송파구 오륜동 ,hybrid,588
0,송파구 오금동 ,hybrid,801
0,송파구 송파1동 ,hybrid,412
0,송파구 송파2동 ,hybrid,438
0,송파구 석촌동 ,hybrid,461
0,송파구 삼전동 ,hybrid,373
0,송파구 가락본동 ,hybrid,603
0,송파구 가락1동 ,hybrid,993
0,송파구 가락2동 ,hybrid,702
0,송파구 문정1동 ,hybrid,669
0,송파구 문정2동 ,hybrid,983
0,송파구 장지동 ,hybrid,551
0,송파구 위례동 ,hybrid,1197
0,송파구 잠실본동 ,hybrid,401
0,송파구 잠실2동 ,hybrid,1022
0,송파구 잠실3동 ,hybrid,893
0,송파구 잠실4동 ,hybrid,670
0,송파구 잠실6동 ,hybrid,420
0,송파구 잠실7동 ,hybrid,357
0,강동구 강일동 ,hybrid,569
0,강동구 상일동 ,hybrid,618
0,강동구 상일제1동 ,hybrid,552
0,강동구 상일제2동 ,hybrid,77
0,강동구 명일1동 ,hybrid,521
0,강동구 명일2동 ,hybrid,443
0,강동구 고덕1동 ,hybrid,642
0,강동구 고덕2동 ,hybrid,598
0,강동구 암사1동 ,hybrid,462
0,강동구 암사2동 ,hybrid,288
0,강동구 암사3동 ,hybrid,442
0,강동구 천호1동 ,hybrid,325
0,강동구 천호2동 ,hybrid,455
0,강동구 천호3동 ,hybrid,394
0,강동구 성내1동 ,hybrid,419
0,강동구 성내2동 ,hybrid,269
0,강동구 성내3동 ,hybrid,332
0,강동구 길동 ,hybrid,685
0,강동구 둔촌1동 ,hybrid,8
0,강동구 둔촌2동 ,hybrid,423
